Symbol,time,Date,Open,High,Low,Close,Volume,SMA_HIGH,SMA_LOW,SSL_COLOUR,SSL_SWITCH,ATR,RED_CANDLE,VOLUME_REQ,PRICE_REQ,BASELINE_REQ,TRADE_ENTRY,TRADE_RESULT,PERCENT_CHANGE
SRET,09:30:00,2020-04-07 09:30:00,6.0,6.28,5.9,6.175,148315,5.695250000000971,5.625200000001175,GREEN,NO,7.105714285714284,NO,YES,YES,YES,YES,TIE,-2.9149797570850158
SRNE,09:30:00,2020-04-03 09:30:00,1.97,2.13,1.97,2.06,1105375,1.972500000000972,1.8835000000011741,GREEN,NO,6.1149999999999975,NO,YES,YES,YES,YES,TIE,18.446601941747566
SRNE,09:30:00,2020-04-07 09:30:00,2.61,2.66,2.51,2.65,627869,2.6070000000009714,2.5355000000011745,GREEN,NO,5.812857142857142,NO,YES,YES,YES,YES,TIE,-5.283018867924533
SSNC,09:30:00,2020-04-06 09:30:00,43.67,44.51,43.1,44.31,68598,41.289500000000906,40.9420000000012,GREEN,NO,12.363571428571431,NO,YES,YES,YES,YES,TIE,4.1976980365605945
SSRM,09:30:00,2020-04-02 09:30:00,12.44,12.73,12.43,12.51,46001,12.107500000000922,11.949000000001204,GREEN,NO,5.464285714285716,NO,YES,YES,YES,YES,TIE,4.956035171862518
SSYS,09:30:00,2020-04-06 09:30:00,14.46,14.78,14.31,14.68,51220,13.766000000000918,13.615500000001195,GREEN,NO,3.6185714285714288,NO,YES,YES,YES,YES,TIE,8.99182561307902
STKL,09:30:00,2020-04-06 09:30:00,1.72,1.78,1.66,1.75,12829,1.704000000000932,1.6745000000011712,GREEN,NO,3.3000000000000003,NO,YES,YES,YES,YES,TIE,-1.142857142857144
SUPN,09:30:00,2020-04-06 09:30:00,17.78,18.0,17.47,17.9,9589,17.277000000000942,17.08900000000121,GREEN,NO,7.932857142857142,NO,YES,YES,YES,YES,TIE,2.234636871508392
SVC,09:30:00,2020-04-06 09:30:00,4.99,5.2,4.87,5.14,357794,4.5200000000009535,4.444500000001215,GREEN,NO,5.843571428571429,NO,YES,YES,YES,YES,TIE,-7.587548638132289
SVMK,09:30:00,2020-04-06 09:30:00,12.08,12.5,12.02,12.15,41735,11.735500000000961,11.594000000001206,GREEN,NO,2.955,NO,YES,YES,YES,YES,TIE,2.6337448559670804
SWAV,09:30:00,2020-04-06 09:30:00,30.4,31.8,30.01,31.51,22889,29.399000000000964,28.929000000001217,GREEN,NO,2.93,NO,YES,YES,YES,YES,LOSS,2.32465883846398
SWIR,09:30:00,2020-04-06 09:30:00,5.7,5.85,5.7,5.78,48805,5.629000000000938,5.574500000001214,GREEN,NO,4.300000000000002,NO,YES,YES,YES,YES,TIE,5.709342560553634
SYNH,09:30:00,2020-04-06 09:30:00,36.34,37.95,35.95,37.14,40133,34.187500000000924,33.7350000000012,GREEN,NO,5.8950000000000005,NO,YES,YES,YES,YES,WIN,7.936187399030695
SYRS,09:30:00,2020-04-03 09:30:00,5.73,5.89,5.73,5.86,1564,5.5755000000009565,5.5290000000012105,GREEN,NO,7.772142857142858,NO,YES,YES,YES,YES,TIE,4.095563139931729
