,index,0
1015,MTLS,78
1016,MTRX,130
1017,MTSC,130
1018,MTSI,130
1019,MU,130
1020,MVIS,130
1021,MXIM,130
1022,MYGN,130
1023,MYL,130
1024,MYOK,130
1025,MYRG,78
1026,NATI,130
1027,NAVI,130
1028,NBEV,130
1029,NBIX,130
1030,NBL,130
1031,NBLX,130
1032,NBRV,130
1033,NBSE,52
1034,NBTB,130
1035,NCMI,130
1036,NDAQ,130
1037,NDLS,130
1038,NDSN,130
1039,NEO,130
1040,NEOG,130
1041,NEPT,130
1042,NERV,130
1043,NEWT,130
1044,NFBK,130
1045,NFE,26
1046,NFLX,130
1047,NGHC,130
1048,NGM,130
1049,NH,52
1050,NICE,130
1051,NIU,104
1052,NK,130
1053,NKTR,130
1054,NLOK,130
1055,NLTX,130
1056,NMIH,130
1057,NMRK,130
1058,NNBR,130
1059,NNDM,52
1060,NODK,26
1061,NOVN,130
1062,NOVT,130
1063,NSIT,130
1064,NSTG,130
1065,NTAP,130
1066,NTCT,130
1067,NTEC,130
1068,NTES,130
1069,NTGN,104
1070,NTGR,130
1071,NTLA,130
1072,NTNX,130
1073,NTRA,130
1074,NTRS,130
1075,NTUS,130
1076,NUAN,130
1077,NURO,78
1078,NUVA,130
1079,NVAX,130
1080,NVCR,130
1081,NVDA,130
1082,NVEE,130
1083,NVIV,52
1084,NWBI,130
1085,NWL,130
1086,NWPX,78
1087,NWS,130
1088,NWSA,130
1089,NXGN,104
1090,NXPI,130
1091,NXST,130
1092,NXTC,52
1093,NYMT,130
1094,NYMTM,104
1095,NYMTN,104
1096,OAS,130
1097,OBSV,104
1098,OCFC,130
1099,OCGN,130
1100,OCSL,130
1101,OCUL,130
1102,ODFL,130
1103,ODP,130
1104,OESX,130
1105,OFIX,130
1106,OGI,130
1107,OKTA,130
1108,OLED,130
1109,OLLI,130
1110,OMAB,130
1111,OMCL,130
1112,OMER,130
1113,OMP,104
1114,ON,130
1115,ONB,130
1116,ONCY,104
1117,ONEM,130
1118,ONTX,130
1119,ONVO,130
1120,OPB,104
1121,OPCH,130
1122,OPGN,130
1123,OPI,130
1124,OPK,130
1125,OPRA,130
1126,OPTN,130
1127,OPTT,104
1128,ORBC,130
1129,ORLY,130
1130,ORTX,104
1131,OSBC,104
1132,OSIS,104
1133,OSMT,130
1134,OSPN,130
1135,OSTK,130
1136,OSUR,130
1137,OSW,130
1138,OTEX,130
1139,OVID,130
1140,OXFD,130
1141,OXLC,130
1142,OXSQ,130
1143,OZK,130
1144,PAAS,130
1145,PACB,130
1146,PACW,130
1147,PAE,104
1148,PAHC,104
1149,PASG,26
1150,PATK,130
1151,PAVM,130
1152,PAYS,130
1153,PAYX,130
1154,PBCT,130
1155,PBPB,130
1156,PBYI,130
1157,PCAR,130
1158,PCH,130
1159,PCRX,130
1160,PCSB,78
1161,PCTI,104
1162,PCTY,130
1163,PCYO,104
1164,PDBC,130
1165,PDCE,130
1166,PDCO,130
1167,PDD,130
1168,PDLI,130
1169,PDP,130
1170,PDSB,78
1171,PEBO,104
1172,PEGA,130
1173,PENN,130
1174,PEP,130
1175,PERI,104
1176,PETQ,130
